Asset Type,Time (UTC),Symbol,Qty Sold,Sell Price,Cost Basis,Realized $
Stock,2026-08-11 13:34:34.296232+00:00,SONY,21.1174,23.6733,23.6767,-0.07
Stock,2026-08-11 13:38:43.845768+00:00,CAH,0.512,256.244,244.12,6.21
Stock,2026-08-11 13:38:47.094483+00:00,GCMG,8.9129,14.67,14.0243,5.75
Stock,2026-08-11 13:42:45.918359+00:00,MG,3.5,18.06,17.1046,3.34
Stock,2026-08-11 13:56:48.542474+00:00,QMCO,5.75,17.5696,16.2941,7.33
Stock,2026-08-11 14:00:48.458258+00:00,QMCO,5.75,18.13,16.2941,10.56
Stock,2026-08-11 14:14:49.340168+00:00,UPWK,17.75,8.93,8.4254,8.96
Stock,2026-08-11 14:18:33.953657+00:00,APP,1.443,321.7,346.5,-35.79
Stock,2026-08-11 14:34:49.732325+00:00,TSCO,1.5,36.32,34.5548,2.65
Stock,2026-08-11 15:02:53.297480+00:00,MG,3.5,18.81,17.1046,5.97
Stock,2026-08-11 19:53:16.012194+00:00,SILC,2.8473,45.55,43.9,4.7
Stock,2026-08-11 19:53:16.372635+00:00,EOLS,9.4934,8.3,7.9,3.8
Stock,2026-08-12 12:25:13.170264+00:00,AAPL,0.1642,304.4207,304.498,-0.01
Stock,2026-08-12 12:38:31.439524+00:00,BE,0.5786,225.5375,216.04,5.5
Stock,2026-08-12 13:28:51.101740+00:00,SNEX,1.6794,66.4,65.5,1.51
Stock,2026-08-12 13:30:02.297882+00:00,STX,0.1553,860.68,805.0,8.65
Stock,2026-08-12 13:30:02.416025+00:00,KLAC,0.5622,209.87,195.65,7.99
Stock,2026-08-12 13:30:09.191763+00:00,QMCO,5.75,20.32,16.2941,23.15
Stock,2026-08-12 13:30:53.577034+00:00,TSEM,0.438,263.776,251.11,5.55
Stock,2026-08-12 13:31:07.578568+00:00,BE,0.5786,240.0,216.04,13.86
Stock,2026-08-12 13:31:21.311946+00:00,ANET,0.9154,207.9,191.18,15.3
Stock,2026-08-12 13:31:59.775712+00:00,INTC,1.2938,102.1,96.7597,6.91
Stock,2026-08-12 13:34:56.513149+00:00,GRWG,65.0873,1.75,1.69,3.91
Stock,2026-08-12 13:36:56.701887+00:00,SMCI,3.5847,36.84,34.87,7.06
Stock,2026-08-12 13:40:57.489419+00:00,QUIK,10.0078,13.0,12.49,5.1
Stock,2026-08-12 13:40:57.493825+00:00,GRWG,65.0873,1.85,1.69,10.41
Stock,2026-08-12 13:42:57.863750+00:00,ATRO,1.4798,89.13,84.47,6.9
Stock,2026-08-12 13:48:58.191299+00:00,CIEN,0.3205,424.564,403.5009,6.75
Stock,2026-08-12 13:48:58.438417+00:00,WDC,0.2831,465.244,441.7659,6.65
Stock,2026-08-12 13:50:58.850629+00:00,STX,0.1553,886.064,805.0,12.59
Stock,2026-08-12 13:53:01.896269+00:00,CGC,15.25,1.03,0.9847,0.69
Stock,2026-08-12 14:09:04.585567+00:00,ANNX,14.0,5.36,5.0886,3.8
Stock,2026-08-12 14:23:04.825461+00:00,SILC,2.8473,48.0,43.9,11.67
Stock,2026-08-12 14:39:05.957734+00:00,NET,0.2464,319.632,304.43,3.75
Stock,2026-08-12 14:51:09.123058+00:00,WEN,9.9864,8.53,7.51,10.19
Stock,2026-08-12 14:51:09.930804+00:00,WEN,9.9864,8.53,7.51,10.19
Stock,2026-08-12 15:04:27.738628+00:00,INTC,8.0073,100.62,96.7597,30.91
Stock,2026-08-12 15:10:59.988384+00:00,DASH,2.3374,213.35,213.91,-1.31
Stock,2026-08-12 15:13:12.276510+00:00,ACVA,15.0888,7.69,7.29,6.04
Stock,2026-08-12 15:59:50.382184+00:00,ATEX,1.3079,88.0,84.1,5.1
Stock,2026-08-12 16:23:53.409707+00:00,LITE,0.1667,945.162,900.0,7.53
Stock,2026-08-12 17:38:04.651930+00:00,ACVA,15.0888,8.02,7.29,11.01
Stock,2026-08-12 17:50:04.582002+00:00,ANET,0.9154,210.468,191.18,17.66
